sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
3402,URB,102322211,27.1,40.473611,-3.67832,40.47385,-3.678254,bueno
3408,URB,5924972879,50.5,40.476209,-3.711622,40.476653,-3.711751,aceptable
3413,URB,8398453282,17.7,40.450343,-3.709477,40.450192,-3.70941,bueno
3421,URB,1738553402,37.5,40.465693,-3.690586,40.465581,-3.690167,bueno
3423,URB,565714261,19.1,40.462964,-3.690014,40.463035,-3.689808,bueno
3424,URB,26412872,7.5,40.455006,-3.702764,40.455055,-3.702702,bueno
3425,URB,26412886,3.7,40.453512,-3.703028,40.453509,-3.702984,bueno
3426,URB,26412911,13.7,40.452739,-3.703147,40.452854,-3.703087,bueno
3427,URB,339391878,23.3,40.451665,-3.703311,40.451867,-3.703238,bueno
3430,URB,100964048,36.3,40.46434,-3.664877,40.464261,-3.665294,bueno
3440,URB,100996354,55.1,40.452003,-3.718326,40.452242,-3.717756,aceptable
3449,URB,414253841,28.1,40.466731,-3.690936,40.466973,-3.691031,bueno
3452,URB,1506821327,44.7,40.457521,-3.676992,40.45712,-3.677015,bueno
3453,URB,26412622,27.9,40.465424,-3.691988,40.465443,-3.69166,bueno
3454,URB,81572825,58.2,40.453403,-3.70164,40.453336,-3.700958,aceptable
3456,URB,98725372,13.4,40.451885,-3.703965,40.451872,-3.704122,bueno
3457,URB,25922709,103.0,40.493938,-3.668125,40.494495,-3.667152,aceptable
3458,URB,259615488,86.8,40.496928,-3.667503,40.496363,-3.666795,aceptable
3459,URB,615649179,17.8,40.495543,-3.668321,40.495397,-3.668408,bueno
3460,URB,119815327,38.1,40.453037,-3.667362,40.453365,-3.667235,bueno
3461,URB,102186292,23.5,40.452392,-3.668427,40.45244,-3.668698,bueno
3472,URB,51422001,36.4,40.461289,-3.718826,40.461597,-3.718969,bueno
3473,URB,151400413,6.9,40.462578,-3.718582,40.462581,-3.718501,bueno
3485,URB,26204368,92.7,40.47995,-3.701649,40.479733,-3.702707,aceptable
3486,URB,102505403,8.2,40.46588,-3.671617,40.465816,-3.671571,bueno
3494,M30,25920353,127.5,40.482875,-3.702472,40.482071,-3.703548,aceptable
3510,M30,25920353,36.3,40.482395,-3.703498,40.482071,-3.703548,bueno
3514,URB,101050255,76.8,40.451274,-3.717135,40.451945,-3.716925,aceptable
3518,URB,102224464,55.4,40.464319,-3.679075,40.464398,-3.679721,aceptable
3519,URB,283576938,23.3,40.486864,-3.65031,40.48677,-3.650064,bueno
3520,URB,298967669,23.1,40.486157,-3.652065,40.485991,-3.652231,bueno
3521,M30,12364718088,99.3,40.492293,-3.670773,40.493055,-3.67016,aceptable
3524,URB,93862638,35.8,40.456639,-3.707182,40.456657,-3.707604,bueno
3560,M30,339984071,13.3,40.479178,-3.715946,40.479114,-3.715813,bueno
3580,URB,98965346,85.3,40.458448,-3.673319,40.458444,-3.674327,aceptable
3581,URB,2494930275,49.9,40.459024,-3.674303,40.458577,-3.674341,bueno
3588,URB,50042350,59.0,40.469584,-3.712397,40.470097,-3.712217,aceptable
3589,URB,1969144049,83.9,40.469308,-3.712773,40.46895,-3.713646,aceptable
3591,URB,55967027,39.7,40.469833,-3.685796,40.469548,-3.686079,bueno
3592,URB,55967027,33.0,40.469808,-3.68589,40.469548,-3.686079,bueno
3595,URB,2891563648,55.0,40.456064,-3.714172,40.45646,-3.713783,aceptable
3596,URB,25904621,87.9,40.476214,-3.702998,40.476977,-3.703269,aceptable
